FDH TNN 16 516
TNN YDQ 17 468
YDQ LRV 18 356
LRV BSG 19 414
BSG OUI 20 534
OUI TNN 1 98
TNN PLQ 2 425
PLQ SPC 3 206
SPC AWK 4 790
AWK TPC 5 642
TPC OHD 6 527
OHD YDQ 7 394
YDQ CZS 8 388
CZS MDZ 9 142
MDZ LRV 10 260
LRV ZAJ 11 695
ZAJ FDH 12 228
FDH OIM 13 481
OIM NGB 14 82
NGB BSG 15 542
BSG MYG 16 452
MYG MSU 17 658
MSU MPW 18 390
MPW HFA 19 83
HFA OUI 20 300
OUI TPC 1 851
TPC AWK 2 644
AWK OHD 3 619
OHD TNN 4 442
TNN FDH 5 500
FDH HFA 6 143
HFA YDQ 7 535
YDQ MPW 8 431
MPW SPC 9 279
SPC OIM 10 625
OIM BSG 11 628
BSG ZAJ 12 322
ZAJ MYG 13 673
MYG PLQ 14 427
PLQ MDZ 15 587
MDZ CZS 16 138
CZS LRV 17 117
LRV NGB 18 806
NGB MSU 19 626
MSU OUI 20 487
OUI MYG 1 715
MYG PLQ 2 402
PLQ SPC 3 196
SPC OHD 4 198
OHD TPC 5 479
TPC AWK 6 596
AWK TNN 7 256
TNN OIM 8 121
OIM LRV 9 725
LRV BSG 10 427
BSG CZS 11 469
CZS MPW 12 613
MPW YDQ 13 401
YDQ HFA 14 527
HFA NGB 15 375
NGB MSU 16 567
MSU MDZ 17 420
MDZ FDH 18 605
FDH ZAJ 19 240
ZAJ OUI 20 192
OUI SPC 1 609
SPC MPW 2 272
MPW FDH 3 110
FDH NGB 4 478
NGB TPC 5 770
TPC MSU 6 611
MSU LRV 7 594
LRV AWK 8 654
AWK YDQ 9 337
YDQ OIM 10 401
OIM OHD 11 504
OHD ZAJ 12 187
ZAJ HFA 13 117
HFA CZS 14 571
CZS PLQ 15 496
PLQ MDZ 16 682
MDZ BSG 17 459
BSG MYG 18 439
MYG TNN 19 677
TNN OUI 20 113
OUI MPW 1 292
MPW NGB 2 386
NGB YDQ 3 423
YDQ SPC 4 389
SPC FDH 5 151
FDH BSG 6 235
BSG ZAJ 7 311
ZAJ HFA 8 131
HFA PLQ 9 128
PLQ OHD 10 81
OHD TNN 11 457
TNN MYG 12 803
MYG AWK 13 627
AWK LRV 14 715
LRV CZS 15 108
CZS MDZ 16 154
MDZ OIM 17 955
OIM TPC 18 691
TPC MSU 19 615
MSU OUI 20 431
OUI LRV 1 753
LRV MYG 2 73
MYG TNN 3 766
TNN OIM 4 113
OIM PLQ 5 396
PLQ BSG 6 326
BSG OHD 7 204
OHD AWK 8 587
AWK FDH 9 622
FDH NGB 10 447
NGB MSU 11 542
MSU SPC 12 368
SPC MPW 13 272
MPW MDZ 14 672
MDZ CZS 15 135
CZS YDQ 16 406
YDQ HFA 17 454
HFA TPC 18 573
TPC ZAJ 19 751
ZAJ OUI 20 187
OUI ZAJ 1 192
ZAJ MDZ 2 801
MDZ AWK 3 777
AWK OHD 4 644
OHD HFA 5 86
HFA LRV 6 520
LRV BSG 7 433
BSG SPC 8 218
SPC MPW 9 282
MPW NGB 10 387
NGB CZS 11 836
CZS TNN 12 888
TNN OIM 13 104
OIM YDQ 14 340
YDQ FDH 15 366
FDH MYG 16 358
MYG TPC 17 133
TPC PLQ 18 550
PLQ MSU 19 489
MSU OUI 20 460
OUI MYG 1 756
MYG TNN 2 692
TNN MDZ 3 882
MDZ ZAJ 4 841
ZAJ BSG 5 317
BSG OHD 6 227
OHD LRV 7 472
LRV HFA 8 535
HFA YDQ 9 513
YDQ FDH 10 363
FDH PLQ 11 64
PLQ MPW 12 68
MPW CZS 13 602
CZS MSU 14 507
MSU SPC 15 425
SPC TPC 16 357
TPC NGB 17 762
NGB AWK 18 218
AWK OIM 19 153
OIM OUI 20 206
OUI MSU 1 461
MSU TPC 2 573
TPC NGB 3 753
NGB MYG 4 715
MYG OHD 5 470
OHD PLQ 6 89
PLQ OIM 7 446
OIM FDH 8 480
FDH ZAJ 9 224
ZAJ LRV 10 598
LRV MDZ 11 240
MDZ TNN 12 868
TNN AWK 13 236
AWK SPC 14 781
SPC HFA 15 240
HFA BSG 16 214
BSG YDQ 17 602
YDQ MPW 18 445
MPW CZS 19 647
CZS OUI 20 1001
OUI MPW 1 289
MPW TPC 2 535
TPC HFA 3 579
HFA OHD 4 81
OHD ZAJ 5 185
ZAJ TNN 6 316
TNN NGB 7 39
NGB MYG 8 645
MYG AWK 9 577
AWK MSU 10 865
MSU YDQ 11 827
YDQ PLQ 12 374
PLQ LRV 13 422
LRV FDH 14 415
FDH BSG 15 268
BSG MDZ 16 464
MDZ SPC 17 392
SPC CZS 18 360
CZS OIM 19 828
OIM OUI 20 224
OUI OHD 1 363
OHD HFA 2 79
HFA AWK 3 620
AWK NGB 4 250
NGB MSU 5 636
MSU MPW 6 416
MPW FDH 7 109
FDH SPC 8 171
SPC YDQ 9 370
YDQ ZAJ 10 565
ZAJ MYG 11 645
MYG LRV 12 63
LRV BSG 13 413
BSG MDZ 14 431
MDZ CZS 15 134
CZS PLQ 16 570
PLQ OIM 17 409
OIM TPC 18 801
TPC TNN 19 837
TNN OUI 20 100
OUI OHD 1 348
OHD CZS 2 583
CZS MSU 3 503
MSU ZAJ 4 417
ZAJ LRV 5 676
LRV OIM 6 759
OIM FDH 7 492
FDH HFA 8 141
HFA TNN 9 378
TNN AWK 10 260
AWK NGB 11 255
NGB YDQ 12 457
YDQ MYG 13 259
MYG MDZ 14 282
MDZ MPW 15 721
MPW BSG 16 265
BSG PLQ 17 318
PLQ SPC 18 235
SPC TPC 19 317
TPC OUI 20 812
OUI MPW 1 309
MPW CZS 2 601
CZS PLQ 3 574
PLQ OIM 4 456
OIM BSG 5 662
BSG NGB 6 589
NGB TPC 7 793
TPC ZAJ 8 792
ZAJ MSU 9 351
MSU HFA 10 369
HFA TNN 11 402
TNN AWK 12 235
AWK SPC 13 801
SPC MDZ 14 391
MDZ OHD 15 623
OHD MYG 16 401
MYG YDQ 17 272
YDQ FDH 18 393
FDH LRV 19 371
LRV OUI 20 809
OUI YDQ 1 555
YDQ BSG 2 572
BSG TNN 3 566
TNN ZAJ 4 293
ZAJ NGB 5 301
NGB MYG 6 716
MYG CZS 7 172
CZS PLQ 8 567
PLQ MSU 9 458
MSU TPC 10 565
TPC SPC 11 376
SPC MDZ 12 448
MDZ LRV 13 233
LRV OIM 14 656
OIM MPW 15 369
MPW OHD 16 76
OHD AWK 17 672
AWK FDH 18 582
FDH HFA 19 144
HFA OUI 20 355
OUI YDQ 1 505
YDQ PLQ 2 380
PLQ CZS 3 575
CZS SPC 4 388
SPC LRV 5 280
LRV MPW 6 467
MPW HFA 7 78
HFA MYG 8 476
MYG TNN 9 704
TNN TPC 10 803
TPC MDZ 11 174
MDZ NGB 12 973
NGB MSU 13 615
MSU OHD 14 356
OHD BSG 15 203
BSG ZAJ 16 297
ZAJ OIM 17 343
OIM AWK 18 174
AWK FDH 19 553
FDH OUI 20 380
OUI AWK 1 359
AWK YDQ 2 396
YDQ HFA 3 525
HFA FDH 4 131
FDH ZAJ 5 250
ZAJ TPC 6 713
TPC PLQ 7 571
PLQ LRV 8 447
LRV TNN 9 802
TNN SPC 10 659
SPC BSG 11 228
BSG OHD 12 241
OHD OIM 13 508
OIM MYG 14 619
MYG NGB 15 733
NGB MPW 16 391
MPW CZS 17 589
CZS MSU 18 572
MSU MDZ 19 431
MDZ OUI 20 903
OUI MYG 1 764
MYG CZS 2 156
CZS TNN 3 832
TNN AWK 4 263
AWK MDZ 5 654
MDZ OHD 6 625
OHD YDQ 7 418
YDQ MPW 8 383
MPW FDH 9 96
FDH PLQ 10 65
PLQ OIM 11 446
OIM BSG 12 697
BSG HFA 13 200
HFA MSU 14 326
MSU ZAJ 15 366
ZAJ NGB 16 269
NGB LRV 17 717
LRV SPC 18 263
SPC TPC 19 357
TPC OUI 20 904
OUI ZAJ 1 212
ZAJ TNN 2 298
TNN MPW 3 389
MPW BSG 4 267
BSG HFA 5 229
HFA NGB 6 370
NGB MDZ 7 904
MDZ MSU 8 443
MSU YDQ 9 842
YDQ AWK 10 378
AWK PLQ 11 514
PLQ FDH 12 66
FDH MYG 13 398
MYG CZS 14 161
CZS OIM 15 722
OIM LRV 16 716
LRV SPC 17 269
SPC OHD 18 185
OHD TPC 19 534
TPC OUI 20 851
OUI YDQ 1 524
YDQ OHD 2 458
OHD MDZ 3 555
MDZ MYG 4 299
MYG TNN 5 760
TNN LRV 6 881
LRV CZS 7 123
CZS FDH 8 526
FDH BSG 9 267
BSG SPC 10 199
SPC PLQ 11 200
PLQ OIM 12 426
OIM NGB 13 84
NGB TPC 14 813
TPC AWK 15 642
AWK MPW 16 515
MPW HFA 17 78
HFA ZAJ 18 139
ZAJ MSU 19 348
MSU OUI 20 454
